#{"env_id": "Walker2d-v2", "t_start": 1521379083.01581}
r,l,t
-17.782906,15,1.338132
25.410653,45,1.898861
-9.050295,14,1.916054
-7.605591,8,1.926674
14.64437,33,2.321065
-21.882424,16,2.339644
-1.911723,9,2.350255
-5.749026,7,2.358464
-4.84828,6,2.761049
-7.656593,9,2.772775
-9.926119,16,2.790707
1.611138,30,3.186839
-8.953012,7,3.196456
-11.176435,13,3.212613
-8.753616,18,3.234732
-8.685615,12,3.611682
-12.95411,68,4.049598
3.809541,40,4.454463
-16.341601,43,4.863766
-14.89046,25,4.891606
-0.975471,52,5.312514
2.12381,35,5.713552
-2.691724,63,6.145506
-71.149636,134,7.382954
-5.238796,9,7.393831
-9.845649,21,7.416592
-16.102099,40,7.823469
-17.032174,70,8.634596
6.0971,47,9.046548
-32.344831,89,9.504614
2.221116,42,10.197803
-8.511663,67,10.99263
-8.403832,70,11.426593
766.449901,629,16.828313
-8.621541,67,17.262413
15.318543,101,18.096583
419.881624,262,20.444824
-35.436591,105,21.282418
79.951924,261,23.369755
-12.159976,79,24.184435
74.512574,189,25.837898
97.109975,211,28.231591
-7.753277,290,30.706682
47.061359,189,32.35961
631.312788,461,36.998201
-18.317488,102,37.840845
-36.918882,151,39.098008
-8.054236,92,39.928008
-8.938379,70,40.369609
272.328072,160,41.630958
-25.219869,71,42.441236
406.732519,285,44.574198
-18.315752,69,45.967802
-9.590761,69,46.409352
-22.649512,83,47.225456
294.1818,173,48.502486
-53.690792,102,49.334522
311.935877,179,50.97774
391.224451,277,53.093766
38.878159,144,54.905327
286.091255,159,56.527247
389.472329,267,58.629636
-11.610581,73,59.074178
-19.537306,71,59.877667
297.030837,178,61.164824
242.044396,127,62.398413
294.229574,174,64.222604
262.882389,152,65.476512
264.861844,143,66.716486
4.444729,106,67.552935
28.121205,136,68.793866
107.985866,218,70.482448
234.146043,178,72.516553
181.068948,119,73.369373
290.563221,168,74.999032
36.143839,137,75.867839
172.487296,123,77.090627
14.14708,151,78.34543
77.496502,276,80.445369
94.356315,241,83.076419
104.809135,209,84.745457
137.775634,101,85.938799
76.019529,172,87.213392
298.664686,160,88.467835
222.257261,131,90.034835
165.419225,111,90.878241
151.159334,95,91.699431
145.545814,108,92.538712
178.932545,115,93.386601
111.498451,80,94.202622
49.557732,176,95.484732
133.624335,97,96.313552
181.941637,116,97.521033
146.199519,92,98.737065
165.472501,125,99.595537
131.960119,85,100.404562
140.588398,91,101.225126
23.404448,42,101.269773
247.690582,148,102.508153
-11.071475,62,103.297878
158.104031,91,103.754527
80.422024,100,104.580833
163.80231,123,105.799324
148.228431,122,106.652518
15.009167,31,107.216901
28.996852,51,107.638019
208.057144,111,108.473813
23.468226,40,108.876769
28.505919,44,109.287374
