#{"t_start": 1521382859.3890183, "env_id": "Walker2d-v2"}
r,l,t
-14.204285,32,1.331732
-7.89708,6,1.340028
-17.075096,33,1.878387
-5.461609,6,1.885711
-12.500543,22,1.911221
-8.490556,16,2.304718
-17.963912,11,2.31934
-18.581042,12,2.33533
-5.037283,8,2.346517
-6.566472,7,2.786527
-11.430424,62,3.251442
-13.590997,11,3.266841
-4.326,6,3.275162
152.632394,127,4.488377
-17.705487,13,4.50302
-7.551259,106,5.331295
-11.351127,11,5.343971
0.299257,50,5.756013
143.249612,119,6.957516
0.101627,117,7.804645
-9.227758,95,8.640618
53.515952,172,10.650725
61.350801,175,12.283824
347.446308,225,13.966201
66.705353,64,14.75439
63.941606,177,16.021393
-1.484612,110,16.862254
109.206982,224,19.585057
115.750039,230,21.274362
124.441243,239,23.339399
134.2508,249,25.403576
61.973905,176,27.032441
85.037502,198,32.140653
265.4339,151,33.382419
134.010246,249,35.444515
325.934707,175,36.704593
43.84579,155,37.956553
144.278693,258,42.974349
230.646232,122,44.191322
370.47787,249,46.244438
111.33476,232,47.920957
273.553693,144,49.151243
264.205336,173,51.385693
-10.340725,79,51.833636
91.573975,211,53.842333
-49.268224,157,55.093902
244.01259,330,57.598108
160.007406,126,58.813421
116.287297,126,60.132262
90.200347,203,61.797484
195.655855,333,64.691453
33.884874,243,66.7422
414.624486,270,69.363318
35.111109,159,70.964357
301.088702,158,72.210664
122.469826,275,74.317292
93.448363,207,75.980639
375.277827,174,78.232292
134.241406,277,80.322283
14.488877,48,80.738486
47.798101,60,81.525766
67.528337,210,83.19544
-88.739748,123,84.043988
-31.954164,107,84.874461
466.149025,299,87.515543
-13.433337,36,87.918741
17.718736,75,88.717413
-69.578162,129,89.565416
24.989902,64,89.992432
-16.058766,41,90.392246
-79.190512,108,91.217986
123.13328,184,92.843574
-51.235398,145,94.065257
-4.114948,63,94.610076
-62.722129,125,95.814365
-8.77204,70,96.241245
-8.490936,68,96.671307
32.918417,156,98.269369
-16.14529,32,98.303376
0.435332,34,98.702191
-17.602298,45,99.107356
0.73015,46,99.514072
-19.074073,71,99.953042
-21.695073,69,100.750602
-7.679807,37,100.792521
-23.534575,73,101.592916
190.162203,164,103.252613
-4.398942,41,103.660445
-66.807818,88,104.468413
3.879541,219,106.146409
-36.112268,84,106.959351
-20.437539,72,107.396473
