#{"t_start": 1521158515.069713, "env_id": "Walker2d-v2"}
r,l,t
106.77097,184,3.172951
-15.66271,13,3.187846
-8.162137,15,3.568739
-3.494363,68,4.00793
-3.509304,6,4.01548
-4.487444,7,4.02372
-3.268297,7,4.031857
1.377405,52,4.813904
-16.177734,32,4.849497
20.573653,128,6.077039
1.907983,11,6.090589
-2.708136,7,6.0988
101.020469,225,8.161716
2.53673,26,8.191376
81.761901,196,9.861912
106.413745,213,12.294901
69.635987,183,13.95697
58.620183,171,15.236856
74.979764,189,16.903853
-0.976495,122,18.133084
-14.14037,94,18.596789
110.498013,226,21.363669
89.185099,195,23.033019
7.682744,126,23.900933
151.957027,268,26.389522
303.532637,183,27.679603
-27.064298,78,29.164867
98.211188,212,30.860712
304.731814,170,32.501064
179.102512,300,35.020099
86.077647,199,36.699678
386.436737,264,39.43089
472.752017,350,42.386805
50.326851,162,43.670631
-31.850538,77,44.505244
272.780503,157,45.777239
269.045604,150,47.731177
108.128151,226,49.458126
-12.679878,79,50.280926
50.956929,185,51.942759
300.989577,181,53.242197
-60.462736,131,54.483356
138.080479,231,56.9819
273.954862,391,60.340937
151.164378,390,63.709675
280.716469,157,68.28297
377.669918,237,70.378953
3.198757,113,71.233729
77.756463,198,72.915683
34.60189,167,74.552646
15.134301,142,75.439641
42.909985,172,78.11814
123.85368,241,80.199822
92.346499,206,81.884907
355.836167,234,83.604712
836.508475,966,92.669695
136.526812,250,94.770335
161.975188,276,97.451844
503.523009,383,100.800716
68.532116,192,102.465784
49.659164,170,103.740896
27.590294,219,106.941587
1001.512746,1000,115.58141
136.868421,94,116.055595
93.15169,57,116.842238
53.226731,150,118.115622
256.00428,152,119.371912
115.287104,74,119.820295
109.436514,68,120.26039
114.057854,233,122.599325
180.948723,117,123.451868
120.805705,80,124.285684
207.940216,126,125.51099
71.517209,198,127.255608
97.662754,56,127.729194
31.103712,76,128.217626
18.141247,65,128.677987
77.077459,72,129.528948
651.138888,1000,140.452684
411.542277,563,145.518554
229.380852,116,146.362655
212.819882,139,147.608855
182.810859,104,148.453862
63.98813,81,149.270716
184.480177,123,150.129845
179.822346,361,153.915956
200.122326,131,154.793866
90.222572,140,156.041577
28.407304,48,156.456816
314.220487,269,158.583903
170.754138,115,160.223726
-13.672562,88,160.685809
-7.136456,26,161.08054
137.721507,79,161.891168
8.910803,90,162.351905
-5.127191,69,163.156727
416.430303,458,166.941682
12.707802,179,168.220828
181.23377,113,171.758015
130.664267,121,172.61868
258.329702,204,174.285673
207.489176,173,175.914173
8.108857,162,177.174999
220.867429,177,178.450043
149.580189,93,179.701819
160.318007,111,180.9117
87.419494,71,181.354008
70.255882,250,183.442363
142.539196,94,184.276404
33.034553,195,185.945995
6.450973,25,185.973792
-28.604402,140,187.22338
144.714579,90,188.410717
200.939973,104,189.251561
19.968233,170,190.524845
106.094315,63,191.321676
160.578842,88,191.778895
283.521941,148,193.027625
968.176512,1000,202.039938
266.829276,140,203.282634
250.370889,146,204.531021
373.096032,224,207.261166
125.402421,94,207.721662
187.686966,115,208.935054
283.99628,146,210.178273
260.101798,192,211.474992
209.635984,136,212.718761
77.59866,104,213.554343
168.097848,95,214.380083
160.564432,93,215.633688
7.566083,26,216.025624
325.099416,182,217.314582
284.289406,162,218.569607
226.657912,115,219.79202
255.246432,126,220.669714
292.763276,144,221.910977
400.621329,242,224.589711
1059.688851,1000,233.546662
56.46571,246,235.634544
864.952546,1000,244.789266
-5.80214,101,245.626401
216.283872,120,246.479642
231.606464,129,247.809405
310.663399,189,249.475609
419.118148,244,252.049193
310.639524,175,253.339552
336.155128,150,254.601791
290.859094,149,255.863985
261.777458,139,257.112659
144.006552,87,257.943027
-4.089323,80,258.399602
-12.277845,70,259.205715
-3.707064,55,260.356946
241.188891,178,261.657583
227.91259,145,262.903602
178.692838,97,263.742829
245.699198,107,264.59764
193.066635,108,265.451674
104.639008,109,266.672641
120.678106,79,267.128674
222.475129,116,267.981806
139.90554,108,271.278275
553.24792,401,274.669233
425.499922,249,276.781753
251.925384,144,277.668883
118.943785,96,278.507847
459.457689,285,281.465712
312.050392,183,283.121646
336.899536,217,284.811644
1038.443415,1000,295.518772
492.821653,318,298.070752
98.248911,172,301.009017
319.482098,221,302.72155
910.462757,1000,312.13779
287.063237,167,313.793751
502.65603,286,315.94165
378.811613,276,319.693805
162.211317,96,320.532719
415.770569,218,322.229637
103.647929,161,323.497567
501.956875,212,325.548979
87.773654,162,326.817118
-2.006552,20,326.839517
122.038416,81,328.484968
169.303743,208,330.183901
211.960485,132,331.42873
186.57925,241,333.516469
992.526891,1000,343.23138
370.420502,190,344.526793
993.632017,1000,354.215075
258.535617,159,355.474674
162.050092,229,358.308858
110.025807,125,359.536658
369.598575,198,361.205747
56.960334,117,362.063987
597.177485,447,368.105777
323.003816,158,369.373817
179.346787,108,370.219731
364.263336,305,372.733823
35.999488,102,373.57283
485.394951,274,376.457974
294.878648,162,377.732793
251.796643,135,378.977133
270.084731,148,380.231718
908.260553,1000,389.385427
144.080258,90,389.845845
263.707783,158,391.480169
35.877369,70,391.918604
198.816417,108,392.762821
322.424073,199,394.891907
208.471936,108,395.738918
207.046237,105,396.581641
1000.747671,1000,405.655048
308.340343,171,407.294834
52.249188,75,407.744744
129.458268,177,409.399899
306.858659,180,410.687871
235.837129,134,412.33002
193.30986,112,413.186874
289.402208,144,414.444903
24.209154,161,415.712635
326.809753,164,417.347544
523.73051,345,420.267163
235.006291,133,422.361186
238.453905,165,424.001196
362.633415,222,425.69424
32.167816,144,426.973258
273.617183,142,428.277972
933.685709,1000,437.334116
11.933743,30,437.369113
253.525502,130,438.614764
393.458495,243,441.513189
202.348479,125,442.383857
244.814301,139,443.635907
328.585766,174,445.290962
299.138446,173,446.581666
308.276518,171,447.869853
482.855368,320,451.113056
268.233398,154,452.392038
281.458326,173,453.684879
77.642882,224,455.762749
1.39763,25,455.789706
258.264488,181,460.017381
343.245765,214,461.716699
914.593859,1000,471.641694
286.503115,136,472.886889
62.900945,112,473.742673
291.043323,146,474.996749
4.84683,27,475.391091
296.472505,155,476.654228
36.88168,102,477.491851
60.990363,96,478.726885
85.848418,83,479.180581
77.816195,79,479.999711
64.487042,78,480.812874
279.431257,138,481.689796
1.839618,24,482.081512
79.20044,79,482.534867
37.599051,114,483.755662
-0.142672,20,483.778527
99.59501,98,484.614227
57.853822,81,485.425699
401.956497,286,488.346719
46.471073,127,489.577884
75.130595,108,490.425779
32.311337,98,491.26269
425.210044,223,493.333504
303.544351,150,494.592054
655.728669,336,497.855887
272.602859,131,499.099241
39.298005,151,500.361948
208.509314,503,504.570986
290.729388,150,506.471809
-0.97887,20,506.495859
203.027962,113,507.718992
183.687072,105,508.573865
538.685575,240,510.294833
348.155636,156,511.938936
474.360547,276,514.067606
255.707018,162,516.232817
374.759358,634,521.697683
805.827315,612,527.266894
663.693386,359,530.215619
563.26074,699,537.098189
357.82649,208,539.163902
-7.194222,74,539.616034
39.247275,99,540.45866
308.110692,160,541.72738
366.116846,190,544.648873
299.570785,154,545.918148
101.839013,145,547.181578
444.807135,273,549.66707
1058.417627,1000,558.667164
973.922789,1000,567.238427
-0.345683,19,567.26176
545.217506,291,570.68269
306.574001,168,571.959669
322.376183,151,573.228975
248.418819,107,574.079605
353.501464,161,575.338632
245.99268,120,576.56995
181.682922,249,579.347805
411.990281,199,581.0307
303.848158,140,582.274321
5.015651,23,582.300579
89.767313,102,583.145298
109.958086,223,585.211053
73.88755,131,586.082671
246.7596,170,588.686991
229.348445,104,589.526176
4.1543,30,589.558855
552.35219,306,592.088855
