#{"env_id": "Walker2d-v2", "t_start": 1521255399.738507}
r,l,t
-11.320352,8,1.886194
-16.635725,30,1.918727
-12.874709,20,2.586468
-13.032646,19,2.607882
-9.534954,14,2.623758
-12.989499,40,3.084688
47.818774,139,4.485465
5.045641,52,4.927157
-10.114045,22,4.951267
-11.939843,47,5.380214
-9.629133,22,5.784344
-10.720311,33,5.819489
-8.321454,68,6.653884
-37.96437,83,7.11789
79.535451,193,8.850013
-9.97025,17,9.253894
70.220834,184,10.596948
249.555701,136,12.660931
56.574828,169,13.978418
179.969817,295,16.788214
83.385286,197,18.611335
107.184546,220,21.236006
65.416309,177,22.59188
372.054185,249,24.800974
296.168032,175,26.516505
244.978533,130,27.416219
347.156937,462,32.588522
466.118526,342,35.272801
35.789588,46,35.708089
8.065138,16,36.105394
43.707097,65,36.553223
988.445246,1000,46.593777
162.163822,248,48.758141
306.766115,182,53.451061
100.971817,114,54.696737
273.823907,158,56.01582
268.972899,155,57.331659
468.852527,340,60.623951
1001.624205,1000,72.84967
485.762961,376,76.758054
275.218184,151,78.066182
338.59327,220,80.205882
79.870177,169,81.526447
277.995533,158,82.842265
149.034956,266,85.998652
304.519988,181,87.33643
242.713836,137,88.732025
277.129168,154,90.179203
300.188297,175,91.972448
387.101126,224,95.470357
966.571937,1000,105.04185
302.946401,186,106.866623
997.662796,1000,116.520188
22.437204,125,117.470923
-20.683784,86,118.397557
317.027124,182,120.290735
-10.686834,71,120.740725
-15.806792,74,121.585817
206.141156,109,122.4563
37.263712,187,124.356891
300.181371,184,126.072764
16.96856,135,127.348063
5.795631,162,128.659898
279.516586,202,130.396823
38.471132,157,131.762238
911.458696,1000,141.241535
342.455805,248,144.202013
67.335623,77,145.091259
159.895765,101,146.047427
22.742134,141,147.37498
228.258844,122,148.26584
74.453436,188,149.994482
206.24681,277,154.940717
180.418902,93,155.789051
340.802721,225,157.975677
964.316752,1000,167.248741
204.771247,110,168.124203
215.538776,161,169.44449
180.251305,93,170.303252
489.559567,377,174.282285
189.359064,98,174.769321
300.919992,187,176.497826
13.276251,150,177.796248
313.588034,326,180.824722
924.378486,1000,190.193868
922.363203,1000,199.189116
200.20663,124,200.603067
240.834985,129,201.947959
217.420994,116,202.865941
261.598289,146,204.20244
186.907037,95,205.067542
942.889627,1000,214.427665
-4.936347,41,214.905778
-10.438941,60,215.394178
15.437198,53,215.829186
-15.404744,105,216.706073
261.904957,146,218.006632
113.685921,106,219.10589
174.898093,118,220.356078
280.934327,169,221.686421
229.873071,121,222.580433
340.067358,226,224.733427
58.840992,98,225.604443
55.074471,64,226.056849
351.079854,232,229.286003
255.952156,155,230.586496
286.648384,169,231.918147
36.337417,63,232.366422
175.190523,299,234.975403
265.890147,176,236.688914
320.959276,199,238.954228
304.240372,185,240.86075
-2.839261,48,241.306215
1052.526514,1000,250.91929
77.352081,196,252.711874
-0.16298,155,254.134672
272.854136,157,255.571948
287.960505,168,257.806991
64.859891,177,259.501547
65.020981,185,260.85105
495.523569,405,264.324118
903.701696,1000,274.205938
43.279763,106,275.467649
47.346894,242,279.542336
11.795655,21,279.981158
1064.564663,1000,289.435532
307.920947,190,291.169831
7.166573,20,291.191668
251.725982,173,292.518974
275.705299,163,294.351088
324.093062,207,296.207667
87.763608,199,299.32505
413.625358,259,301.499
336.793438,211,303.24338
64.534004,178,304.955751
495.686449,378,309.359139
17.512623,32,309.771489
495.757995,297,312.369095
70.382349,93,313.238147
912.400704,1000,325.427181
948.66831,1000,335.110893
52.060119,183,336.456914
281.452709,164,338.154371
965.496781,1000,349.862151
80.911737,232,352.444935
397.990674,282,355.035319
338.623228,222,356.80995
2.341116,163,358.541885
1021.313255,1000,368.288242
110.703392,231,371.095063
369.892825,203,372.96191
1013.575244,1000,385.14143
621.949943,466,389.74185
407.65724,277,391.934818
566.712759,370,398.175737
1058.274219,1000,408.108919
133.078795,248,410.288565
415.633545,209,412.041082
998.086573,1000,423.349315
884.226437,1000,432.788507
86.214339,267,437.867875
419.563791,269,440.463199
498.185931,312,443.233709
79.41936,212,444.977877
820.796003,1000,457.317699
995.608993,1000,469.543649
-21.394789,108,470.491024
-53.354786,104,473.086538
-47.129238,126,474.360846
-29.756174,110,475.236694
744.41789,915,483.761086
37.573648,186,485.599508
488.12472,374,488.656301
923.298047,1000,497.900228
39.666804,71,498.850866
-13.267452,150,500.447013
16.146016,91,501.303108
402.209545,264,503.492094
-1.977028,39,503.909436
-15.047857,99,504.774201
-1.119687,12,504.788072
38.3596,148,506.095052
-16.473526,77,506.943609
36.028695,235,508.711729
96.660825,234,511.993625
74.429236,106,512.925345
65.480181,193,514.806472
37.561531,142,516.108789
988.003006,1000,528.393426
993.022331,1000,540.61124
1027.429437,1000,549.689786
1070.039708,1000,559.67276
1038.524137,1000,571.454973
64.389457,120,572.34653
395.76883,439,579.653776
116.452862,150,581.065499
1043.049688,1000,593.285925
93.33532,189,595.16837
9.417786,22,595.219456
1.37351,177,597.037852
995.138797,1000,609.306043
430.334969,291,612.914198
1045.031812,1000,624.43582
1000.540314,1000,635.206647
193.439807,238,637.416096
1034.644484,1000,649.798009
103.016217,145,651.095938
162.735575,212,652.846862
804.652828,609,659.046023
785.454243,572,664.060335
172.617829,295,669.796462
464.018625,243,671.959758
122.751301,246,674.192426
995.056079,1000,684.777961
2.232603,46,685.205108
887.020934,1000,695.103804
-52.519403,108,695.974422
3.08454,47,696.407555
-98.715816,126,697.302151
242.795298,129,698.877177
-145.242321,445,703.094821
5.055982,44,703.521801
-61.689276,104,704.40153
-21.047648,202,706.144531
428.41141,240,708.154065
22.984546,53,708.978464
-75.041035,204,710.716232
-7.011111,40,710.758785
22.647439,218,712.89037
-2.731537,47,713.326682
-5.577762,41,713.781333
-10.040457,43,713.832831
-15.898966,36,714.287884
-8.428411,43,714.746675
-8.925155,85,715.664428
-7.061089,42,716.125135
-2.306299,47,716.180545
-10.072562,41,716.876318
215.021029,559,721.781245
-9.340804,49,722.209979
-30.957572,108,723.476721
-5.278458,48,723.910115
14.294978,46,723.959886
-10.059472,43,724.385416
30.530707,66,725.223425
-1.432477,67,725.906029
-38.976618,197,727.642099
28.916527,68,728.092837
-96.709502,148,729.445223
864.178344,1000,739.607183
1038.293109,1000,750.441662
349.776345,212,752.571351
1056.418802,1000,764.881823
357.323349,242,766.658195
1036.208157,1000,778.060889
150.650208,71,778.896398
1041.931183,1000,790.860655
530.415062,331,795.521865
1036.730626,1000,806.591002
410.798117,237,808.756756
1014.701411,1000,820.139776
1023.139031,1000,831.012185
421.3563,230,833.163942
1046.009258,1000,843.25732
401.574098,301,847.281056
527.109656,340,850.289941
1101.510238,865,860.394667
1188.803724,1000,870.231302
1042.816223,1000,880.001751
490.901419,326,882.820903
462.285627,293,885.414007
450.430978,284,889.210528
625.71596,362,892.258062
645.573927,420,896.308399
450.16365,319,899.932873
1127.509233,807,908.164049
141.612722,259,910.355917
469.580127,314,913.3537
388.272169,236,915.131696
690.172365,422,920.253366
624.569412,467,924.251652
1124.152151,1000,934.818179
109.667928,186,936.5457
51.952099,191,939.898701
413.468491,242,941.681671
499.04052,293,944.272185
613.516133,418,949.286102
448.139306,283,951.495207
111.816071,154,952.809968
-30.948859,155,954.122411
50.508197,89,954.975892
396.163116,269,958.509455
41.324335,80,958.971884
120.168443,170,960.840105
33.117523,68,961.312999
553.963755,382,964.771154
561.868204,400,968.954271
429.243323,251,971.143614
492.925539,280,973.481773
427.657427,245,975.749072
454.634906,280,979.074347
639.232659,382,982.145264
169.470839,121,983.415549
317.703103,234,985.184891
507.235334,296,989.293706
413.774898,264,991.863662
500.11292,304,994.48577
526.174038,352,998.20065
346.932312,245,1000.557627
486.681324,311,1003.240896
236.755464,146,1004.545404
228.877382,142,1006.564265
289.41316,282,1008.752881
444.714305,269,1011.336475
279.290698,170,1012.735846
354.661108,200,1014.588221
64.900755,166,1016.550543
816.029383,610,1022.158125
379.215266,304,1025.626489
577.784289,397,1029.286635
465.837505,335,1031.941548
191.471739,253,1034.127122
73.647029,189,1037.065911
1051.740974,1000,1047.021571
1088.40821,1000,1056.799517
360.526468,258,1058.977043
206.148025,136,1060.265552
343.899873,233,1062.407778
686.928755,350,1066.557703
1045.716219,1000,1076.185222
77.085696,98,1077.052896
182.824219,147,1078.353794
212.184446,148,1079.658341
364.804477,235,1081.440833
105.42802,105,1082.387151
225.888328,159,1084.948455
1057.745698,1000,1096.698159
294.916566,188,1098.198247
287.249835,215,1100.336613
612.139503,416,1103.887659
569.176175,313,1107.547183
1065.60781,1000,1118.842635
94.905519,262,1121.018166
8.154378,210,1123.143509
