total/epochs,train/loss_critic,obs_rms_mean,rollout/episode_steps,eval/episodes,rollout/Q_mean,rollout/return_history,total/duration,train/param_noise_distance,eval/Q,rollout/return,reference_Q_mean,total/steps_per_second,total/steps,obs_rms_std,total/episodes,eval/return_history,rollout/episodes,reference_actor_Q_std,reference_perturbed_action_std,reference_perturbed_action_mean,ret_rms_mean,reference_action_std,ret_rms_std,param_noise_stddev,reference_Q_std,rollout/actions_mean,reference_actor_Q_mean,eval/return,train/loss_actor,rollout/actions_std,reference_action_mean
1,0.09460341185331345,-0.28112930059432983,44.1,1.0,1.1285961866378784,-0.9408061413329601,10.007069110870361,0.19238066673278809,2.5835139751434326,-0.9408061413329601,1.9426319599151611,99.92935882832384,1000,1.6908535957336426,20.0,60.43715536069449,20.0,2.5912041664123535,0.10946795344352722,0.9243736267089844,0.0,0.00953586120158434,1.0,0.17399259391533256,2.8996968269348145,0.4370787739753723,2.7701103687286377,60.43715536069449,-2.551405429840088,0.5616135001182556,0.9530107378959656
2,0.19099777936935425,-0.09410718828439713,77.84,2.0,2.982560873031616,27.7212953688762,19.83558225631714,0.47006359696388245,3.870429039001465,27.7212953688762,4.6204118728637695,100.82890303676615,2000,1.3035500049591064,25.0,71.61521654908529,25.0,4.872124671936035,0.2773225009441376,0.8199985027313232,0.0,0.08778496831655502,1.0,0.15751322548474425,4.851408958435059,0.6187770366668701,5.127275466918945,82.7932777374761,-5.084707260131836,0.4776993691921234,0.942216694355011
3,0.3533240258693695,-0.015062072314321995,91.57142857142857,3.0,5.843815326690674,51.59428087383916,29.69004774093628,0.5359220504760742,17.39409065246582,51.59428087383916,6.495842933654785,101.04396012350078,3000,1.1276955604553223,28.0,150.71681236052328,28.0,6.345682621002197,0.6145341992378235,0.4992910325527191,0.0,0.6867644786834717,1.0,0.1316837837193291,6.3967413902282715,0.6587761640548706,7.539102554321289,308.9200039833992,-9.828091621398926,0.4330868422985077,0.5943503975868225
4,1.147295594215393,0.0060980962589383125,121.38709677419355,4.0,8.563522338867188,79.00090745833467,39.40683174133301,0.3966006338596344,25.458494186401367,79.00090745833467,9.99160385131836,101.50524219394383,4000,1.0241241455078125,31.0,183.65841832029508,31.0,7.684394836425781,0.41094768047332764,0.7117165923118591,0.0,0.7353214621543884,1.0,0.10792071678026853,7.90307092666626,0.6604424715042114,11.283716201782227,282.4832361996106,-15.45302963256836,0.4225306808948517,0.5158999562263489
5,0.6112087368965149,0.02414887584745884,127.03030303030303,5.0,11.657933235168457,89.23808418498321,49.36229205131531,0.4920153319835663,33.381439208984375,89.23808418498321,13.188294410705566,101.29189290485489,5000,0.9393707513809204,33.0,202.0119363891593,33.0,9.111051559448242,0.5732982158660889,0.5654155015945435,0.0,0.6992015242576599,1.0,0.08844582667210643,9.15153980255127,0.6611958146095276,14.66733169555664,275.42600866461606,-21.16278648376465,0.42173948884010315,0.559901773929596
6,0.627675473690033,0.039381928741931915,153.1081081081081,6.0,13.812596321105957,123.33243585558316,58.66100072860718,0.3497065305709839,16.1332950592041,123.33243585558316,16.377681732177734,102.28260557229095,6000,0.90475994348526,37.0,167.11940536767028,37.0,10.301324844360352,0.6394274830818176,0.460849791765213,0.0,0.7100094556808472,1.0,0.0724852881735357,10.406556129455566,0.6720676422119141,17.953453063964844,-7.343249739774815,-25.943357467651367,0.4172115921974182,0.40152978897094727
7,2.1143429279327393,0.043435633182525635,176.71794871794873,7.0,14.434161186218262,144.3803247833527,80.78700804710388,0.33400318026542664,42.82175064086914,144.3803247833527,20.392045974731445,86.64759556287271,7000,0.8623760938644409,39.0,183.8716110102003,39.0,11.692193031311035,0.5065554976463318,0.6951725482940674,0.0,0.7075473666191101,1.0,0.05940491710342653,12.181354522705078,0.6943754553794861,22.05939483642578,284.38484486538044,-31.227577209472656,0.40486982464790344,0.4867975413799286
8,1.1947511434555054,0.04771111533045769,182.48837209302326,8.0,16.293628692626953,147.34782637918607,136.86554050445557,0.3255413770675659,33.373260498046875,147.34782637918607,25.267059326171875,58.45152819704508,8000,0.8604440689086914,43.0,166.5181506758565,43.0,13.888590812683105,0.5659037828445435,0.6603021025657654,0.0,0.738358736038208,1.0,0.048684971322958646,14.101962089538574,0.693139910697937,27.260528564453125,45.04392833545002,-36.34507369995117,0.40695130825042725,0.4456097185611725
9,1.4757485389709473,0.05357271060347557,175.5686274509804,9.0,19.236854553222656,143.83007203339326,156.20590114593506,0.23066943883895874,23.763233184814453,143.83007203339326,29.960676193237305,57.61626119100179,9000,0.9436845183372498,51.0,145.8188139280372,51.0,16.177627563476562,0.6305443644523621,0.5493664145469666,0.0,0.6823322176933289,1.0,0.039899499036260555,16.114503860473633,0.6867181062698364,32.037933349609375,-19.77588005451741,-41.257869720458984,0.4153437912464142,0.4981369078159332
10,4.560490608215332,0.062107887119054794,172.1551724137931,10.0,22.246572494506836,144.40214758412245,165.84866094589233,0.23207184672355652,27.99507713317871,144.40214758412245,34.576847076416016,60.295934516242326,10000,0.9643699526786804,58.0,129.6736709296497,58.0,19.629606246948242,0.5958327054977417,0.5853093266487122,0.0,0.7026157379150391,1.0,0.03612049597631193,19.484081268310547,0.6864664554595947,36.560279846191406,-15.63261605583794,-46.38328170776367,0.4174717664718628,0.4525097906589508
